Session number,Skinner cage no.,Animal ID,Genotype,Animal tail ID,Home cage no.,Rewarded side (L/R),05.03.2019,,,06.03.2019,,,07.03.2019,,,09.03.2019,,,10.03.2019,,,19.03.2019,,,22.03.2019,,,23.03.2019,,,04.04.2019,,,06.04.2019,,,07.04.2019,,,15.04.2019,,,16.04.2019,,,17.04.2019,,,30.04.2019,,,02.05.2019,,,06.05.2019,,,14.05.2019,,,15.05.2019,,,16.05.2019,,,28.05.2019,,,29.05.2019,,,30.05.2019,,
1,1,382M,mut,11,1,R,1,1,2,9,17,21,6,54,60,10,45,51,5,102,128,5,82,91,8,71,79,15,86,96,6,81,89,10,124,139,3,100,110,9,128,163,6,100,126,7,184,227,2,181,233,1,161,199,4,188,229,9,169,193,9,189,237,3,176,222,1,167,226,4,213,270,1,164,199
,2,384M,con,12,,L,5,4,3,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,15,12,4,6,6,2,6,6,11,28,26,4,27,19,15,12,11,3,18,16,3,8,7,2,5,5,3,37,31,30,9,8,16,21,19,19,18,17,10,44,38,11,34,30,6,51,41,10,50,43,16
,3,383M,con,13,,R,3,1,1,4,0,0,1,0,0,4,1,1,2,2,3,0,0,0,0,0,0,0,3,3,0,1,2,6,2,2,16,14,17,4,23,31,5,17,17,5,14,14,3,28,29,2,42,47,1,35,39,2,24,26,4,21,27,2,17,18,0,28,34,4,29,35,3,21,22
,5,394M,con,21,2,L,6,6,3,42,34,16,63,54,8,49,46,9,133,107,13,58,52,8,59,58,5,109,85,12,58,52,7,117,102,12,178,155,14,100,90,3,175,137,10,128,121,5,123,106,3,86,76,18,127,113,22,160,136,14,143,138,44,172,150,32,86,78,13,118,105,20,148,127,24
,6,390M,con,22,,R,6,5,5,1,17,19,4,17,18,1,47,85,11,65,133,2,71,99,4,93,107,10,133,165,5,119,135,13,105,138,3,112,146,6,140,188,5,88,108,4,143,173,2,93,105,11,76,79,11,129,170,2,122,152,9,111,133,8,115,144,2,125,144,8,116,139,5,122,137
2,1,393M,con,23,,R,7,7,8,12,37,46,6,35,39,5,75,90,18,91,111,2,38,44,5,47,60,11,78,100,6,80,96,5,65,81,6,101,131,6,107,119,6,103,130,5,155,204,3,84,104,13,179,250,8,197,250,5,104,133,4,92,119,6,103,124,4,97,116,8,130,161,3,72,85
,2,392M,mut,31,3,L,3,2,1,12,10,5,4,4,2,6,6,0,41,36,16,60,49,4,83,69,6,64,55,7,84,75,1,110,100,15,160,138,16,144,124,11,172,153,3,150,133,12,71,68,5,78,69,2,122,107,6,59,56,1,71,65,25,62,56,23,65,59,7,86,74,14,91,79,18
,3,391M,mut,32,,R,2,2,2,2,2,5,4,8,9,8,25,26,8,51,59,4,23,26,1,7,8,4,9,10,5,43,47,5,47,55,8,77,111,5,76,94,8,81,97,3,71,90,3,54,58,4,57,72,2,39,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,5,389M,mut,33,,L,0,0,0,8,4,10,26,23,12,11,11,1,92,63,11,96,69,7,94,59,13,100,63,10,143,103,8,162,117,4,106,81,7,101,82,5,123,109,6,73,66,3,68,62,6,84,77,8,81,73,6,86,75,4,73,62,6,94,82,5,65,56,5,81,75,5,106,89,6
,6,395M,mut,34,,R,2,0,0,0,0,0,4,6,6,5,2,3,1,2,2,1,2,3,3,2,2,1,1,1,0,1,3,2,6,9,1,16,20,6,36,40,8,46,56,4,74,85,3,41,52,8,61,70,1,25,26,7,54,68,3,45,58,0,62,67,4,28,31,5,65,71,5,85,97
3,1,415M,con,41,4,R,3,2,3,8,20,20,11,83,116,15,112,159,7,118,153,5,59,65,10,59,70,13,88,99,2,50,61,4,82,91,6,78,92,5,82,90,10,110,139,3,89,99,3,98,104,3,99,110,2,87,101,7,72,83,3,87,98,3,120,141,1,82,91,2,84,96,5,88,104
