Mouse tail ID,Mouse ID,Genotype,Time to start digging in the right place,Time to bite,Time to take/dig out the cracker,Time to retrieve the cracker,Date
11,382M,PARK,NA,00:01:53,00:01:43,00:01:43,21-03-2019
12,384M,NORM,00:00:33,00:00:42,,00:00:42,21-03-2019
13,383M,NORM,00:01:05,00:01:25,,00:01:25,21-03-2019
21,394M,NORM,00:00:50,00:00:56,,00:00:56,21-03-2019
22,390M,NORM,00:00:09,00:00:15,,00:00:15,21-03-2019
23,393M,NORM,00:00:34,00:00:45,,00:00:45,21-03-2019
31,392M,PARK,00:00:09,00:00:48,00:00:30,00:00:30,21-03-2019
32,391M,PARK,00:00:16,00:00:28,,00:00:28,21-03-2019
33,389M,PARK,00:00:05,00:00:15,00:00:11,00:00:11,21-03-2019
34,395M,PARK,00:00:50,00:01:43,00:01:04,00:01:04,21-03-2019
41,415M,NORM,00:00:53,00:02:19,,00:02:19,21-03-2019
42,420M,NORM,00:00:08,00:00:20,00:00:18,00:00:18,21-03-2019
51,408M,PARK,00:00:27,00:00:50,00:00:40,00:00:40,21-03-2019
52,407M,NORM,00:00:21,00:00:30,00:00:30,00:00:30,21-03-2019
53,409M,PARK,00:00:36,00:00:57,00:00:57,00:00:57,21-03-2019
54,410M,NORM,00:00:33,00:01:26,00:01:26,00:01:26,21-03-2019
61,402M,NORM,00:02:38,00:03:07,00:03:00,00:03:00,21-03-2019
62,401M,PARK,00:00:25,00:01:10,00:01:00,00:01:00,21-03-2019
63,399M,NORM,00:01:15,00:01:35,00:01:35,00:01:35,21-03-2019
64,400M,PARK,00:00:24,00:00:52,00:00:44,00:00:44,21-03-2019
11,382M,PARK,00:00:13,00:00:20,00:00:20,00:00:20,8-04-2019
12,384M,NORM,00:00:24,00:00:39,00:00:39,00:00:39,8-04-2019
13,383M,NORM,00:00:19,00:00:26,00:00:26,00:00:26,8-04-2019
21,394M,NORM,00:00:08,00:00:18,00:00:16,00:00:16,8-04-2019
22,390M,NORM,00:00:29,00:00:36,00:00:33,00:00:33,8-04-2019
23,393M,NORM,00:00:16,00:00:27,00:00:24,00:00:24,8-04-2019
31,392M,PARK,00:00:47,00:01:09,00:00:50,00:00:50,8-04-2019
32,391M,PARK,00:00:07,00:00:10,00:00:10,00:00:10,8-04-2019
33,389M,PARK,00:00:05,00:00:24,NA,00:00:24,8-04-2019
34,395M,PARK,00:00:32,00:00:47,00:00:38,00:00:38,8-04-2019
41,415M,NORM,00:00:09,00:00:27,00:00:17,00:00:17,8-04-2019
42,420M,NORM,00:00:12,00:00:19,00:00:17,00:00:17,8-04-2019
51,408M,PARK,00:00:24,00:00:36,00:00:29,00:00:29,8-04-2019
52,407M,NORM,00:00:22,00:00:26,00:00:26,00:00:26,8-04-2019
53,409M,PARK,00:00:15,00:00:40,00:00:32,00:00:32,8-04-2019
54,410M,NORM,00:00:07,00:00:30,00:00:23,00:00:23,8-04-2019
61,402M,NORM,00:00:28,00:00:42,00:00:42,00:00:42,8-04-2019
62,401M,PARK,00:00:28,00:01:02,00:00:43,00:00:43,8-04-2019
63,399M,NORM,00:00:31,00:00:35,00:00:35,00:00:35,8-04-2019
64,400M,PARK,00:00:40,00:00:50,00:00:44,00:00:44,8-04-2019
11,382M,PARK,00:00:15,00:00:26,00:00:26,00:00:26,29-04-2019
12,384M,NORM,00:00:15,00:00:27,00:00:21,00:00:21,29-04-2019
13,383M,NORM,00:00:07,00:00:13,00:00:11,00:00:11,29-04-2019
21,394M,NORM,00:00:31,00:00:39,00:00:39,00:00:39,29-04-2019
22,390M,NORM,00:00:20,00:00:27,00:00:24,00:00:24,29-04-2019
