Animal,Sex,Genotype,Intellicage,Dead.prematurely,Tag
382M,male,mutant,NA,FALSE,NA
384M,male,control,NA,FALSE,NA
383M,male,control,NA,FALSE,NA
394M,male,control,NA,FALSE,NA
390M,male,control,NA,FALSE,NA
393M,male,control,NA,FALSE,NA
392M,male,mutant,NA,FALSE,NA
391M,male,mutant,NA,TRUE,NA
389M,male,mutant,NA,FALSE,NA
395M,male,mutant,NA,FALSE,NA
415M,male,control,NA,FALSE,NA
420M,male,control,NA,FALSE,NA
408M,male,mutant,NA,FALSE,NA
407M,male,control,NA,FALSE,NA
409M,male,mutant,NA,FALSE,NA
410M,male,control,NA,FALSE,NA
402M,male,control,NA,FALSE,NA
401M,male,mutant,NA,FALSE,NA
399M,male,control,NA,FALSE,NA
400M,male,mutant,NA,FALSE,NA
411F,female,mutant,2,FALSE,900110000390838
412F,female,control,2,FALSE,900110000390837
413F,female,mutant,2,TRUE,900110000390831
414F,female,mutant,2,FALSE,900110000390836
403F,female,mutant,5,FALSE,900110000390839
404F,female,control,5,FALSE,900110000390840
405F,female,mutant,5,TRUE,900110000390835
406F,female,mutant,5,FALSE,900110000390833
378F,female,control,2,FALSE,900110000390832
380F,female,control,2,FALSE,900110000390834
396F,female,mutant,5,FALSE,900110000390876
397F,female,control,5,FALSE,900110000390878
398F,female,control,5,FALSE,900110000390880
385F,female,mutant,2,FALSE,900110000390875
386F,female,control,2,FALSE,900110000390877
387F,female,control,2,FALSE,900110000390874
388F,female,control,2,FALSE,900110000390871
370F,female,control,5,FALSE,900110000390841
371F,female,mutant,5,FALSE,900110000390842
373F,female,control,5,FALSE,900110000390872
374F,female,control,5,TRUE,900110000390873
