"","Animal","Sex","Genotype","Treatment","Date","Days","StepSequence_NumberOfPatterns","StepSequence_CA_(%)","StepSequence_CB_(%)","StepSequence_AA_(%)","StepSequence_AB_(%)","StepSequence_RA_(%)","StepSequence_RB_(%)","StepSequence_RegularityIndex_(%)","BOS_FrontPaws_Mean_(cm)","BOS_HindPaws_Mean_(cm)","OtherStatistics_NumberOfSteps","OtherStatistics_Cadence","PrintPositions_RightPaws_Mean_(cm)","PrintPositions_LeftPaws_Mean_(cm)","Couplings_RF->LH_Mean","Couplings_LF->RH_Mean","Couplings_LH->RF_Mean","Couplings_RH->LF_Mean","Couplings_LH->RH_Mean","Couplings_LF->RF_Mean","Couplings_RH->LH_Mean","Couplings_RF->LF_Mean","Couplings_RF->RH_Mean","Couplings_LF->LH_Mean","Couplings_RH->RF_Mean","Couplings_LH->LF_Mean","Support_Zero_(%)","Support_Single_(%)","Support_Diagonal_(%)","Support_Girdle_(%)","Support_Lateral_(%)","Support_Three_(%)","Support_Four_(%)","F_Stand_(s)_Mean","F_MaxContactArea_(cm?)_Mean","F_MaxContactMaxIntensity_Mean","F_MaxContactMeanIntensity_Mean","F_PrintLength_(cm)_Mean","F_PrintArea_(cm?)_Mean","F_MaxIntensity_Mean","F_MinIntensity_Mean","F_MeanIntensity_Mean","F_MeanIntensityOfThe15MostIntensePixels_Mean","F_SwingSpeed_(cm/s)_Mean","F_StrideLength_(cm)_Mean","F_StepCycle_(s)_Mean","F_BodySpeed_(cm/s)_Mean","H_Stand_(s)_Mean","H_StandIndex_Mean","H_MaxContactArea_(cm?)_Mean","H_MaxContactMaxIntensity_Mean","H_MaxContactMeanIntensity_Mean","H_PrintLength_(cm)_Mean","H_PrintWidth_(cm)_Mean","H_PrintArea_(cm?)_Mean","H_MaxIntensity_Mean","H_MinIntensity_Mean","H_MeanIntensity_Mean","H_MeanIntensityOfThe15MostIntensePixels_Mean","H_SwingSpeed_(cm/s)_Mean","H_StrideLength_(cm)_Mean","H_StepCycle_(s)_Mean","H_DutyCycle_(%)_Mean","H_BodySpeed_(cm/s)_Mean"
"1","384M","male","con","placebo",2019-03-12,32,1,0,0,0,100,0,0,50,1.371308017,3.185654008,13,6.98877379,0.8,1.147368421,106.4004096,3.333333333,98.10126582,NA,78.48101266,39.15552059,NA,60.17665131,83.33333333,45.74088644,NA,56.15314317,0,42.85714286,35.71428571,0,7.142857143,14.28571429,0,0.646385474,0.265600711,285.25,155.54412889,1.821052631,0.38107928,312.75,100.25,164.47509593,248.6,103.58877212,12.719433167,0.945037193,33.71195089,0.479173788,-22.882005099,0.167443926,286.5,175.05312432,1.473684211,1.181434599,0.235842772,296.75,99,175.29748165,256.6833334,NA,NA,NA,NA,37.64740873
"2","384M","male","con","placebo",2019-03-12,32,2,50,0,0,50,0,0,72.72727273,1.299578059,2.450773558,17,4.323655779,1.768421053,2.578947368,96.2458154,17.30519481,7.139513109,95.68421053,64.28571429,50.50649351,52.63157895,44.41899711,47.51017893,50.28138528,50.34210526,60.56547619,0,9.32642487,25.90673575,0,0,22.79792746,41.96891192,0.877763735,0.255829447,267.4,153.35662689,1.456842106,0.336486787,295.2,98.8,163.78748958,235.9866667,39.23322918,10.562392187,1.523618303,12.946280879,1.486213598,-3.47258798,0.16640758,289.9166667,175.85871,1.58245614,1.019690576,0.229328596,310.25,99.16666667,177.32191844,261.8222222,67.99043753,9.528973179,1.270097527,153.72131171,13.873581112
"3","384M","male","con","placebo",2019-03-12,32,2,0,0,0,50,0,50,88.88888889,1.223628692,2.046413502,10,7.863541379,1.894736842,1.221052632,6.013071895,98.3277592,89.79591837,55,63.26530612,41.94537347,22.5,63.7254902,71.11111111,43.47826087,98.125,59.18367347,NA,NA,NA,NA,NA,NA,NA,0.610411997,0.24694648,267.6666667,152.7538133,1.614035088,0.35176549,292.3333334,98,163.456758,239.4666667,76.8806277,12.39282733,0.900689442,25.25525721,0.537427954,-5.290565943,0.138574284,245,166.2929215,1.452631579,1.202531645,0.199866756,278.5,100,172.93429241,240.4333334,58.8516646,17.606626773,1.283855669,99.3877551,24.43128629
"4","384M","male","con","placebo",2019-03-12,32,2,50,0,0,50,0,0,80,1.547116737,2.974683544,13,6.649529726,1.242105263,0.673684211,0,8.888888889,96.66666667,93.88058397,53.33333333,66.07843137,52.04521486,42.85714286,61.9047619,61.17647059,55.5337005,40,0,0,52.22222222,0,0,41.11111111,6.666666667,0.682971075,0.301724776,319.1666667,165.24254709,1.50877193,0.395588126,334.1666667,95.16666667,174.81259432,267.8777777,82.9419549,12.754348208,1.06683073,23.37108878,0.712882217,-11.111344184,0.250055519,325.5,172.44298042,1.768421053,1.656118144,0.380190984,339.75,95.5,176.95065214,281.8166667,85.26505571,11.876496072,0.997038066,139.04299756,21.74667124
"5","384M","male","con","placebo",2019-03-12,32,3,33.33333333,0,0,66.66666667,0,0,100,1.888185654,3.006329114,16,9.196883594,1.115789474,0.715789474,88.23529412,14.05619906,102.5641026,85.90102708,61.86036186,48.97468897,32.95985061,37.93547438,55.53286981,46.7009867,35.14472456,49.21189921,0,0,35.33333333,0,2,28,34.66666667,0.58285281,0.30068843,312.75,163.26835647,1.6,0.398401066,344.5,96.75,170.96940911,264.1833333,105.72913628,11.418337804,0.900545115,37.0938091,0.650393694,-25.91467102,0.204752387,312.5,174.07085309,1.52631579,1.582278481,0.29002887,323,98.5,175.29080177,268.15,99.80507108,11.547712663,0.970587512,131.97175374,33.03024521
"6","382M","male","mut","L-DOPA",2019-03-12,32,1,0,0,0,100,0,0,50,1.947960619,2.419127989,11,6.854588234,NA,1.052631579,95.4248366,10.63829787,101.7316017,NA,40,64.53900709,NA,23.82629108,33.33333333,47.87234043,NA,27.53246753,0,6.493506494,22.07792208,9.090909091,0,58.44155844,3.896103896,0.600371118,0.262195573,264,155.44780911,1.547368421,0.363165297,291.5,96.91666667,165.16598124,238.8888889,71.06908848,13.302119108,1.154111471,28.28290578,0.552907659,-10.2498416,0.09948923,223,148.20889666,1.277192982,1.265822785,0.145680657,233.3333333,100.33333333,151.45209971,188.40000003,NA,NA,NA,NA,25.08851885
"10","383M","male","con","L-DOPA",2019-03-12,32,1,100,0,0,0,0,0,33.33333333,1.866385373,2.210970464,17,4.651458475,1.768421053,0.621052632,93.00428812,7.407407407,99.99130851,NA,30.58823529,42.05975724,NA,39.06955245,22.97297297,47.96088806,NA,48.49757241,NA,NA,NA,NA,NA,NA,NA,0.78865711,0.142601229,222.8,141.63975968,1.237894736,0.204485899,237.6333333,97.96666667,149.75323765,192.29111108,49.80604734,9.826765405,1.47910597,16.525092889,1.052872197,-6.413585441,0.124006218,225,146.74419397,1.482105263,1.232067511,0.184410393,231.8,100.4,153.56090141,198.13333333,NA,NA,NA,NA,15.060496586
"11","383M","male","con","L-DOPA",2019-03-12,32,5,20,0,0,80,0,0,86.95652174,1.52742616,2.912145871,27,3.922300152,1.468421053,0.996491228,95.53554516,29.92568712,96.76588036,65.5505263,57.99035406,47.26634022,42.68802043,48.06059316,61.04854753,46.81191304,40.77707535,47.87651355,0,2.602230483,13.94052045,0.743494424,0,39.77695167,42.93680297,1.675401759,0.38115542,286.6571429,158.93177914,1.651729323,0.518206909,311,91.91428571,169.64312704,260.1771428,50.49347214,8.763621493,2.21625325,9.438435714,1.687542351,-4.805113113,0.290473018,316.7678571,170.49572154,1.642857143,1.540084388,0.41071032,327.2857143,93.96428571,175.47701271,281.7095238,73.1847851,7.249443801,1.864890221,168.88647239,9.582862662
"12","394M","male","con","L-DOPA",2019-03-12,32,4,75,25,0,0,0,0,100,1.831223629,3.383966245,19,6.265215874,1.650526316,2.172631579,89.75121263,100.5430893,100.6468092,104.4881373,49.59351268,56.3812084,50.26937171,44.76163332,44.52092516,48.36162242,56.10315885,52.53436603,0,0,32.32758621,0.431034483,0,34.9137931,32.32758621,0.859407738,0.242327337,290.45,160.25493622,1.338947369,0.33284477,306.1,97.35,169.04242048,251.64,51.01595423,10.654180294,1.448972419,19.992477909,0.873872523,-11.18590804,0.2416167,315.8,173.2739261,1.591578947,1.696202532,0.361359093,325.8,96.2,176.78170168,277.6133333,72.14281027,9.550735503,1.244470287,153.08323674,19.523161742
"13","394M","male","con","L-DOPA",2019-03-12,32,5,0,0,100,0,0,0,100,1.4092827,3.236889693,22,10.24329224,1.204210526,1.591578947,97.2046332,94.28571429,112.8629032,114.6226761,56.27208141,53.00420168,45.77044,46.87344487,35.0954526,37.235765,66.08931296,61.2125576,0,0,47.27272727,0,3.03030303,40,9.696969697,0.419976473,0.212835887,289.8,156.62127742,1.372631579,0.281767711,306.6,99.2,163.08498107,234.5333333,65.04688631,10.077632329,0.736451635,25.97626838,0.528027292,-23.61025772,0.229028266,306.4,171.79273296,1.541052632,1.567209163,0.321106564,324.6857143,96.94285714,178.67452308,276.4361904,100.89050502,9.262599715,0.709912837,144.69050816,25.05028349
