Mouse ID,Weight [g] 25.04.2019,Weight [g] 8.04.2019,Initial weight [g],Weight [g] 5.03.2019,Weight [g] 9.05.2019,Weight [g] 15.05.2019,Weight [g] 22.05.2019,Weight [g] 28.05.2019,Weight [g] 4.06.2019,IntelliCage No.,Notes
411F,23,23,19.4,23.4,23,23.6,23.3,23.3,23.8,2,
412F,21.8,21,19.2,21.5,22.3,22.7,22.1,22.9,22.6,,
413F,17.7,18.5,16.8,19.1,14.3,NA,NA,NA,NA,,hunched back
414F,19.2,21.2,16.9,21,14.4,14.8,14.25,15.4,17.5,,
403F,21.7,22,19.5,22.3,21.4,21.5,21.7,22.8,22.2,5,
404F,21.9,22.7,20.2,22.9,21.9,22.4,22.6,24.2,22.7,,
405F,19,19.8,17,19.5,u�miercona,NA,NA,NA,NA,,
406F,20.2,21,18.3,21.4,18.1,17.9,17.7,19,19.6,,
378F,22,23,19.3,23.5,23.4,22.5,23.2,24.4,23.5,2,
380F,23.8,23.6,21.5,23,26.6,27.1,26.4,27.5,28,,
381F,u�miercona,,20.3,22.9,u�miercona,NA,NA,NA,NA,,
396F,21.9,22,18.2,22.3,21,21.6,21.4,23.1,21.7,5,
397F,21.5,22.1,19.4,22.3,21.9,21.8,22.2,22.4,22.1,,
398F,20.7,22,18.8,22.4,21.3,21.1,21,22.2,22.1,,
385F,21,22.9,19.4,22.5,20.7,21,20.6,20.8,21.4,2,
386F,21.3,22,20,23.3,22.1,22.2,22.4,23.4,23.9,,
387F,19.8,20.7,19,21.7,20.7,21.1,21.5,21.4,21.2,,
388F,20.9,20.5,19.3,21,21.1,22,21.9,22.45,22.8,,
370F,22,23.6,22.1,24,23.9,24,24.5,25.2,23.8,5,
371F,23.5,24.3,21.7,24.2,22.8,22.7,22.6,23.9,23.2,,
373F,23.5,22.8,20.2,23.7,23.6,23.9,23.1,24.4,23.4,,
374F,23.8,24.1,21.6,24.4,24.5,NA,NA,NA,NA,,bez kolczyka
