Animal ID;Animal tail ID;Home cage no.;Notes;Initial body weight [g];Weight [g] 4.03.2019;Weight [g] 20.03.2019;Weight [g] 7.04.2019;Weight [g] 24.04.2019;Weight [g] 6.05.2019;Weight [g] 14.05.2019;Weight [g] 20.05.2019;Weight [g] 28.05.2019;Weight [g] 5.06.2019
382M;11;1;;25.5;27.5;27.7;27.6;28.4;28.2;27.8;29;28.9;29.2
384M;12;;;26.1;30.3;29.2;30;30.2;30.3;30.5;30.9;31.9;32.3
383M;13;;;24.8;28.8;27.8;27.8;29.3;28.6;29.4;29.2;29.9;30.8
394M;21;2;bez kolczyka;23.1;26.7;27.7;26.7;28.4;28.6;27.5;28.8;28.6;28.8
390M;22;;;23.5;27.9;28.4;27.8;28.3;28.7;29.5;29.1;29;29.9
393M;23;;;21.9;26.7;28;27.4;28.2;28.1;28.1;28.6;28.6;29.3
392M;31;3;;21.7;25.2;25.4;25;27.7;25.5;25.3;26.1;25.9;26.7
391M;32;;;21.6;26.5;26;25.3;26.4;19.3;NA;NA;NA;NA
389M;33;;;23.1;27;26.7;26.5;27.1;26.3;26.4;26.8;27;27.9
395M;34;;;21;25.4;25.2;24.7;25.8;25.1;25.6;25.9;25.6;26.5
415M;41;4;;22.6;23.5;25;26.2;28;28.2;27.5;27.1;28.3;28.9
420M;42;;;23;27.5;27.8;26.6;29.6;28.1;25;27.5;29.6;30.2
408M;51;5;;24.5;28;28.2;27.4;30.2;29.2;28.1;29.2;31;30.9
407M;52;;;25.3;29.4;29.9;29.2;31.9;30;29.6;30.8;32.4;32
409M;53;;;22.2;27.3;27.7;26.8;28.4;27.4;27.4;27.6;28.5;28.5
410M;54;;;23.7;27.7;27.2;26.9;28.6;28.5;29.6;28.9;29.9;30.1
402M;61;6;;23.2;26.8;26.5;27.7;28.8;27.1;28.4;27.5;29.5;29.1
401M;62;;;21.9;25.6;25.7;25.3;27;26.6;27.9;27.2;28.2;27.9
399M;63;;;22.8;26;26.6;26.4;27.9;28;28.4;28.2;29.5;29.3
400M;64;;;21.6;26;26;25.5;26.7;26;26.3;26.8;28.2;26.7
