Test cage no.;Mouse ID;Tail ID;Water.start;Saccharin.start;Water.finish;Saccharin.finish;Start;Finish
1;382M;11;1,25;3;2,25;7,75;13.03.2019;14.03.2019
2;384M;12;0;3;0,5;10,25;13.03.2019;14.03.2019
3;383M;13;1,25;5,75;1,5;12,5;13.03.2019;14.03.2019
4;394M;21;1,5;4,5;5,5;4,5;13.03.2019;14.03.2019
5;390M;22;2;5,5;3,25;17;13.03.2019;14.03.2019
6;393M;23;3;6;6,25;8,5;13.03.2019;14.03.2019
7;392M;31;1,5;5;2,75;12,25;13.03.2019;14.03.2019
8;391M;32;3;4,25;3,75;13,75;13.03.2019;14.03.2019
9;389M;33;3,5;3,5;4,5;25;13.03.2019;14.03.2019
10;395M;34;3,5;7;3,75;12;13.03.2019;14.03.2019
11;415M;41;3;6,25;4;12,25;13.03.2019;14.03.2019
12;420M;42;2;4,25;6;5,25;13.03.2019;14.03.2019
13;408M;51;2;6,25;2,75;16,25;13.03.2019;14.03.2019
14;407M;52;1,5;6;3;14,75;13.03.2019;14.03.2019
15;409M;53;2;3;2,75;12,75;13.03.2019;14.03.2019
16;410M;54;2,5;7;3,25;19,5;13.03.2019;14.03.2019
17;402M;61;1,5;10,5;2;25;13.03.2019;14.03.2019
18;401M;62;0,5;7;2,25;16;13.03.2019;14.03.2019
19;399M;63;0;9,5;1,5;23,5;13.03.2019;14.03.2019
20;400M;64;3;5,25;4,5;12,5;13.03.2019;14.03.2019
1;382M;11;1,5;1,25;2,25;8,5;27.03.2019;28.03.2019
2;384M;12;0,75;1,25;4,25;6;27.03.2019;28.03.2019
3;383M;13;1;1,25;1,25;8,25;27.03.2019;28.03.2019
4;394M;21;1,5;0,75;2;9,25;27.03.2019;28.03.2019
5;390M;22;1;1;1,5;12,5;27.03.2019;28.03.2019
6;393M;23;1,25;0,5;5,75;1,5;27.03.2019;28.03.2019
7;392M;31;0,75;1,75;2,25;22,75;27.03.2019;28.03.2019
8;391M;32;0;1;0,75;14;27.03.2019;28.03.2019
9;389M;33;1,5;0,75;2,25;8,5;27.03.2019;28.03.2019
10;395M;34;1,75;1,5;3,5;7;27.03.2019;28.03.2019
11;415M;41;1;1,5;2;10,5;27.03.2019;28.03.2019
12;420M;42;1,25;1,5;2;14,5;27.03.2019;28.03.2019
13;408M;51;1;1,25;2;6,25;27.03.2019;28.03.2019
14;407M;52;1,25;1,5;2,5;4;27.03.2019;28.03.2019
15;409M;53;1,25;2;1,75;12,75;27.03.2019;28.03.2019
16;410M;54;2;1,5;3;10;27.03.2019;28.03.2019
17;402M;61;0,75;0,5;1,5;11,25;27.03.2019;28.03.2019
18;401M;62;0,5;1;1,5;8,75;27.03.2019;28.03.2019
19;399M;63;1;1;3;9,75;27.03.2019;28.03.2019
20;400M;64;1,5;0,5;3,5;13,5;27.03.2019;28.03.2019
1;382M;11;0,5;1;1;14,25;11.04.2019;12.04.2019
2;384M;12;0,5;0;4,5;2,75;11.04.2019;12.04.2019
3;383M;13;1;0;1,75;8,5;11.04.2019;12.04.2019
4;394M;21;1;0,5;1,75;10,25;11.04.2019;12.04.2019
5;390M;22;0,5;0,5;1;16,5;11.04.2019;12.04.2019
6;393M;23;0,5;0,5;1,5;12,5;11.04.2019;12.04.2019
7;392M;31;0,5;0,5;1;10,5;11.04.2019;12.04.2019
8;391M;32;1;0,25;2;7;11.04.2019;12.04.2019
9;389M;33;0,5;0,25;2,25;10,5;11.04.2019;12.04.2019
10;395M;34;0,5;0;2;11,5;11.04.2019;12.04.2019
11;415M;41;0,5;0;3,5;2;11.04.2019;12.04.2019
12;420M;42;0,75;0,5;1,5;13;11.04.2019;12.04.2019
13;408M;51;0,75;0,75;1,5;8;11.04.2019;12.04.2019
14;407M;52;1,5;0;2,75;12,25;11.04.2019;12.04.2019
15;409M;53;0,75;0;2,75;5;11.04.2019;12.04.2019
16;410M;54;0,5;0,25;1,25;9;11.04.2019;12.04.2019
17;402M;61;0,5;0,75;1,5;8;11.04.2019;12.04.2019
18;401M;62;0,75;0,5;1,5;11,75;11.04.2019;12.04.2019
19;399M;63;0,5;0,25;1,75;11,5;11.04.2019;12.04.2019
20;400M;64;0,75;0,5;1,5;6,25;11.04.2019;12.04.2019
1;382M;11;2;0,25;3,5;6,25;24.04.2019;25.04.2019
2;384M;12;1;0,75;2,25;10,5;24.04.2019;25.04.2019
3;383M;13;1,5;1,25;2,5;7,25;24.04.2019;25.04.2019
4;394M;21;0,75;0,75;1,5;11,5;24.04.2019;25.04.2019
5;390M;22;1,75;0,5;2,25;9;24.04.2019;25.04.2019
6;393M;23;0,75;0,75;1,75;11,25;24.04.2019;25.04.2019
7;392M;31;1;1;1,5;5,75;24.04.2019;25.04.2019
8;391M;32;1;1;1,25;11;24.04.2019;25.04.2019
9;389M;33;0,5;0,5;1,25;12,5;24.04.2019;25.04.2019
10;395M;34;1;1;2;4;24.04.2019;25.04.2019
11;415M;41;1,25;1;2;14,25;24.04.2019;25.04.2019
12;420M;42;1;0,5;3;9;24.04.2019;25.04.2019
13;408M;51;0,75;1;3,5;3;24.04.2019;25.04.2019
14;407M;52;0,75;0,75;2,25;25;24.04.2019;25.04.2019
15;409M;53;3;1,25;3,5;17,5;24.04.2019;25.04.2019
16;410M;54;1,25;0,25;3;10,75;24.04.2019;25.04.2019
17;402M;61;0,5;1;1,75;14,75;24.04.2019;25.04.2019
18;401M;62;1,25;0,75;2,25;6,25;24.04.2019;25.04.2019
19;399M;63;0,75;1;1,5;12,5;24.04.2019;25.04.2019
20;400M;64;1;1;2;13,5;24.04.2019;25.04.2019
1;382M;11;1;0,5;2,1;6,75;10.05.2019;11.05.2019
2;384M;12;2,25;1;6,5;1,1;10.05.2019;11.05.2019
3;383M;13;1,25;0,5;2;6,9;10.05.2019;11.05.2019
