"","Date","Animal","Genotype","Sex","Parameter","Measurement","Treatment","Effect.Genotype","liczba.tygodni"
"1",2019-03-21 01:00:00,"382M","mut","male","Time.to.start.digging",NA,NA,0.54753101657804,6.38095238095238
"2",2019-03-21 01:00:00,"384M","con","male","Time.to.start.digging",33,NA,0.54753101657804,6.38095238095238
"3",2019-03-21 01:00:00,"383M","con","male","Time.to.start.digging",65,NA,0.54753101657804,6.38095238095238
"4",2019-03-21 01:00:00,"394M","con","male","Time.to.start.digging",50,NA,0.54753101657804,6.38095238095238
"5",2019-03-21 01:00:00,"390M","con","male","Time.to.start.digging",9,NA,0.54753101657804,6.38095238095238
"6",2019-03-21 01:00:00,"393M","con","male","Time.to.start.digging",34,NA,0.54753101657804,6.38095238095238
"7",2019-03-21 01:00:00,"392M","mut","male","Time.to.start.digging",9,NA,0.54753101657804,6.38095238095238
"8",2019-03-21 01:00:00,"391M","mut","male","Time.to.start.digging",16,NA,0.54753101657804,6.38095238095238
"9",2019-03-21 01:00:00,"389M","mut","male","Time.to.start.digging",5,NA,0.54753101657804,6.38095238095238
"10",2019-03-21 01:00:00,"395M","mut","male","Time.to.start.digging",50,NA,0.54753101657804,6.38095238095238
"11",2019-03-21 01:00:00,"415M","con","male","Time.to.start.digging",53,NA,0.54753101657804,6.38095238095238
"12",2019-03-21 01:00:00,"420M","con","male","Time.to.start.digging",8,NA,0.54753101657804,6.38095238095238
"13",2019-03-21 01:00:00,"408M","mut","male","Time.to.start.digging",27,NA,0.54753101657804,6.38095238095238
"14",2019-03-21 01:00:00,"407M","con","male","Time.to.start.digging",21,NA,0.54753101657804,6.38095238095238
"15",2019-03-21 01:00:00,"409M","mut","male","Time.to.start.digging",36,NA,0.54753101657804,6.38095238095238
"16",2019-03-21 01:00:00,"410M","con","male","Time.to.start.digging",33,NA,0.54753101657804,6.38095238095238
"17",2019-03-21 01:00:00,"402M","con","male","Time.to.start.digging",158,NA,0.54753101657804,6.38095238095238
"18",2019-03-21 01:00:00,"401M","mut","male","Time.to.start.digging",25,NA,0.54753101657804,6.38095238095238
"19",2019-03-21 01:00:00,"399M","con","male","Time.to.start.digging",75,NA,0.54753101657804,6.38095238095238
"20",2019-03-21 01:00:00,"400M","mut","male","Time.to.start.digging",24,NA,0.54753101657804,6.38095238095238
"21",2019-04-08 02:00:00,"382M","mut","male","Time.to.start.digging",13,NA,0.54753101657804,8.95238095238095
"22",2019-04-08 02:00:00,"384M","con","male","Time.to.start.digging",24,NA,0.54753101657804,8.95238095238095
"23",2019-04-08 02:00:00,"383M","con","male","Time.to.start.digging",19,NA,0.54753101657804,8.95238095238095
"24",2019-04-08 02:00:00,"394M","con","male","Time.to.start.digging",8,NA,0.54753101657804,8.95238095238095
"25",2019-04-08 02:00:00,"390M","con","male","Time.to.start.digging",29,NA,0.54753101657804,8.95238095238095
"26",2019-04-08 02:00:00,"393M","con","male","Time.to.start.digging",16,NA,0.54753101657804,8.95238095238095
"27",2019-04-08 02:00:00,"392M","mut","male","Time.to.start.digging",47,NA,0.54753101657804,8.95238095238095
"28",2019-04-08 02:00:00,"391M","mut","male","Time.to.start.digging",7,NA,0.54753101657804,8.95238095238095
"29",2019-04-08 02:00:00,"389M","mut","male","Time.to.start.digging",5,NA,0.54753101657804,8.95238095238095
"30",2019-04-08 02:00:00,"395M","mut","male","Time.to.start.digging",32,NA,0.54753101657804,8.95238095238095
"31",2019-04-08 02:00:00,"415M","con","male","Time.to.start.digging",9,NA,0.54753101657804,8.95238095238095
"32",2019-04-08 02:00:00,"420M","con","male","Time.to.start.digging",12,NA,0.54753101657804,8.95238095238095
"33",2019-04-08 02:00:00,"408M","mut","male","Time.to.start.digging",24,NA,0.54753101657804,8.95238095238095
"34",2019-04-08 02:00:00,"407M","con","male","Time.to.start.digging",22,NA,0.54753101657804,8.95238095238095
"35",2019-04-08 02:00:00,"409M","mut","male","Time.to.start.digging",15,NA,0.54753101657804,8.95238095238095
"36",2019-04-08 02:00:00,"410M","con","male","Time.to.start.digging",7,NA,0.54753101657804,8.95238095238095
"37",2019-04-08 02:00:00,"402M","con","male","Time.to.start.digging",28,NA,0.54753101657804,8.95238095238095
"38",2019-04-08 02:00:00,"401M","mut","male","Time.to.start.digging",28,NA,0.54753101657804,8.95238095238095
"39",2019-04-08 02:00:00,"399M","con","male","Time.to.start.digging",31,NA,0.54753101657804,8.95238095238095
"40",2019-04-08 02:00:00,"400M","mut","male","Time.to.start.digging",40,NA,0.54753101657804,8.95238095238095
"41",2019-04-29 02:00:00,"382M","mut","male","Time.to.start.digging",15,NA,0.54753101657804,11.952380952381
"42",2019-04-29 02:00:00,"384M","con","male","Time.to.start.digging",15,NA,0.54753101657804,11.952380952381
"43",2019-04-29 02:00:00,"383M","con","male","Time.to.start.digging",7,NA,0.54753101657804,11.952380952381
"44",2019-04-29 02:00:00,"394M","con","male","Time.to.start.digging",31,NA,0.54753101657804,11.952380952381
"45",2019-04-29 02:00:00,"390M","con","male","Time.to.start.digging",20,NA,0.54753101657804,11.952380952381
"46",2019-04-29 02:00:00,"393M","con","male","Time.to.start.digging",18,NA,0.54753101657804,11.952380952381
"47",2019-04-29 02:00:00,"392M","mut","male","Time.to.start.digging",47,NA,0.54753101657804,11.952380952381
"48",2019-04-29 02:00:00,"391M","mut","male","Time.to.start.digging",14,NA,0.54753101657804,11.952380952381
"49",2019-04-29 02:00:00,"389M","mut","male","Time.to.start.digging",22,NA,0.54753101657804,11.952380952381
"50",2019-04-29 02:00:00,"395M","mut","male","Time.to.start.digging",21,NA,0.54753101657804,11.952380952381
"51",2019-04-29 02:00:00,"415M","con","male","Time.to.start.digging",6,NA,0.54753101657804,11.952380952381
"52",2019-04-29 02:00:00,"420M","con","male","Time.to.start.digging",7,NA,0.54753101657804,11.952380952381
"53",2019-04-29 02:00:00,"408M","mut","male","Time.to.start.digging",21,NA,0.54753101657804,11.952380952381
"54",2019-04-29 02:00:00,"407M","con","male","Time.to.start.digging",10,NA,0.54753101657804,11.952380952381
"55",2019-04-29 02:00:00,"409M","mut","male","Time.to.start.digging",27,NA,0.54753101657804,11.952380952381
"56",2019-04-29 02:00:00,"410M","con","male","Time.to.start.digging",6,NA,0.54753101657804,11.952380952381
"57",2019-04-29 02:00:00,"402M","con","male","Time.to.start.digging",15,NA,0.54753101657804,11.952380952381
"58",2019-04-29 02:00:00,"401M","mut","male","Time.to.start.digging",11,NA,0.54753101657804,11.952380952381
"59",2019-04-29 02:00:00,"399M","con","male","Time.to.start.digging",18,NA,0.54753101657804,11.952380952381
"60",2019-04-29 02:00:00,"400M","mut","male","Time.to.start.digging",13,NA,0.54753101657804,11.952380952381
