"","Date","Animal","Genotype","Sex","Parameter","Measurement","Treatment","Effect.Genotype","liczba.tygodni"
"1",2019-03-21 01:00:00,"382M","mut","male","Time.to.retrieve.the.cracker",103,NA,0.772781968984587,6.38095238095238
"2",2019-03-21 01:00:00,"384M","con","male","Time.to.retrieve.the.cracker",42,NA,0.772781968984587,6.38095238095238
"3",2019-03-21 01:00:00,"383M","con","male","Time.to.retrieve.the.cracker",85,NA,0.772781968984587,6.38095238095238
"4",2019-03-21 01:00:00,"394M","con","male","Time.to.retrieve.the.cracker",56,NA,0.772781968984587,6.38095238095238
"5",2019-03-21 01:00:00,"390M","con","male","Time.to.retrieve.the.cracker",15,NA,0.772781968984587,6.38095238095238
"6",2019-03-21 01:00:00,"393M","con","male","Time.to.retrieve.the.cracker",45,NA,0.772781968984587,6.38095238095238
"7",2019-03-21 01:00:00,"392M","mut","male","Time.to.retrieve.the.cracker",30,NA,0.772781968984587,6.38095238095238
"8",2019-03-21 01:00:00,"391M","mut","male","Time.to.retrieve.the.cracker",28,NA,0.772781968984587,6.38095238095238
"9",2019-03-21 01:00:00,"389M","mut","male","Time.to.retrieve.the.cracker",11,NA,0.772781968984587,6.38095238095238
"10",2019-03-21 01:00:00,"395M","mut","male","Time.to.retrieve.the.cracker",64,NA,0.772781968984587,6.38095238095238
"11",2019-03-21 01:00:00,"415M","con","male","Time.to.retrieve.the.cracker",139,NA,0.772781968984587,6.38095238095238
"12",2019-03-21 01:00:00,"420M","con","male","Time.to.retrieve.the.cracker",18,NA,0.772781968984587,6.38095238095238
"13",2019-03-21 01:00:00,"408M","mut","male","Time.to.retrieve.the.cracker",40,NA,0.772781968984587,6.38095238095238
"14",2019-03-21 01:00:00,"407M","con","male","Time.to.retrieve.the.cracker",30,NA,0.772781968984587,6.38095238095238
"15",2019-03-21 01:00:00,"409M","mut","male","Time.to.retrieve.the.cracker",57,NA,0.772781968984587,6.38095238095238
"16",2019-03-21 01:00:00,"410M","con","male","Time.to.retrieve.the.cracker",86,NA,0.772781968984587,6.38095238095238
"17",2019-03-21 01:00:00,"402M","con","male","Time.to.retrieve.the.cracker",180,NA,0.772781968984587,6.38095238095238
"18",2019-03-21 01:00:00,"401M","mut","male","Time.to.retrieve.the.cracker",60,NA,0.772781968984587,6.38095238095238
"19",2019-03-21 01:00:00,"399M","con","male","Time.to.retrieve.the.cracker",95,NA,0.772781968984587,6.38095238095238
"20",2019-03-21 01:00:00,"400M","mut","male","Time.to.retrieve.the.cracker",44,NA,0.772781968984587,6.38095238095238
"21",2019-04-08 02:00:00,"382M","mut","male","Time.to.retrieve.the.cracker",20,NA,0.772781968984587,8.95238095238095
"22",2019-04-08 02:00:00,"384M","con","male","Time.to.retrieve.the.cracker",39,NA,0.772781968984587,8.95238095238095
"23",2019-04-08 02:00:00,"383M","con","male","Time.to.retrieve.the.cracker",26,NA,0.772781968984587,8.95238095238095
"24",2019-04-08 02:00:00,"394M","con","male","Time.to.retrieve.the.cracker",16,NA,0.772781968984587,8.95238095238095
"25",2019-04-08 02:00:00,"390M","con","male","Time.to.retrieve.the.cracker",33,NA,0.772781968984587,8.95238095238095
"26",2019-04-08 02:00:00,"393M","con","male","Time.to.retrieve.the.cracker",24,NA,0.772781968984587,8.95238095238095
"27",2019-04-08 02:00:00,"392M","mut","male","Time.to.retrieve.the.cracker",50,NA,0.772781968984587,8.95238095238095
"28",2019-04-08 02:00:00,"391M","mut","male","Time.to.retrieve.the.cracker",10,NA,0.772781968984587,8.95238095238095
"29",2019-04-08 02:00:00,"389M","mut","male","Time.to.retrieve.the.cracker",24,NA,0.772781968984587,8.95238095238095
"30",2019-04-08 02:00:00,"395M","mut","male","Time.to.retrieve.the.cracker",38,NA,0.772781968984587,8.95238095238095
"31",2019-04-08 02:00:00,"415M","con","male","Time.to.retrieve.the.cracker",17,NA,0.772781968984587,8.95238095238095
"32",2019-04-08 02:00:00,"420M","con","male","Time.to.retrieve.the.cracker",17,NA,0.772781968984587,8.95238095238095
"33",2019-04-08 02:00:00,"408M","mut","male","Time.to.retrieve.the.cracker",29,NA,0.772781968984587,8.95238095238095
"34",2019-04-08 02:00:00,"407M","con","male","Time.to.retrieve.the.cracker",26,NA,0.772781968984587,8.95238095238095
"35",2019-04-08 02:00:00,"409M","mut","male","Time.to.retrieve.the.cracker",32,NA,0.772781968984587,8.95238095238095
"36",2019-04-08 02:00:00,"410M","con","male","Time.to.retrieve.the.cracker",23,NA,0.772781968984587,8.95238095238095
"37",2019-04-08 02:00:00,"402M","con","male","Time.to.retrieve.the.cracker",42,NA,0.772781968984587,8.95238095238095
"38",2019-04-08 02:00:00,"401M","mut","male","Time.to.retrieve.the.cracker",43,NA,0.772781968984587,8.95238095238095
"39",2019-04-08 02:00:00,"399M","con","male","Time.to.retrieve.the.cracker",35,NA,0.772781968984587,8.95238095238095
"40",2019-04-08 02:00:00,"400M","mut","male","Time.to.retrieve.the.cracker",44,NA,0.772781968984587,8.95238095238095
"41",2019-04-29 02:00:00,"382M","mut","male","Time.to.retrieve.the.cracker",26,NA,0.772781968984587,11.952380952381
